variable,name,type
V1,UP,PLN
V2,DOWN,PLN
V3,FOOT,PLN
V4,LIGHTNING,PLN
V5,BEE,PLN
V6,OWL,PLN
V7,FROG,PLN
V8,BOY,PLN
V9,HOLE,PLN
V10,TURTLE,PLN
V11,SICK,PLN
V12,WATER,PLN
V13,CAR,PLN
V14,HAPPY,PLN
V15,BIRD,PLN
V16,DOG,PLN
V17,GIRL,PLN
V18,NEST,PLN
V19,MOTHER,PLN
V20,FATHER,PLN
V21,BARRAMUNDI,PLN
V22,BUTTERFLY,PLN
V23,TEA,PLN
V24,BOTTLE,PLN
V25,FENCE,PLN
V26,BEEHIVE,PLN
V27,NOSE,PLN
V28,HEAD,PLN
V29,HORSE,PLN
V30,SNAKE,PLN
V31,GOANNA,PLN
V32,ONE,PLN
V33,TREE,PLN
V34,CLOSE,PLN
V35,FAR,PLN
V36,FAMILY,PLN
V37,OUR,PLN
V38,WHAT,PLN
V39,WHERE,PLN
V40,NEXT TO,PLN
V41,WHITE PERSON,PLN
V42,LITTLE,PLN
V43,BIG,PLN
V44,FIRE,PLN
V45,AHEAD,PLN
V46,HUSBAND,PLN
V47,CAT,PLN
V48,WHATSITSNAME,PLN
V49,THREE,PLN
V50,EYE,PLN
V51,WOMAN,PLN
V52,SHADE,PLN
V53,FISH,PLN
V54,MOUTH,PLN
V55,ROCK,PLN
V56,RETURN,PLV
V57,SQUASH,PLV
V58,LOOK,PLV
V59,SEARCH,PLV
V60,BLEED,PLV
V61,FISHING,PLV
V62,BITE,PLV
V63,LICK,PLV
V64,JUMP,PLV
V65,CLIMB,PLV
V66,CRY,PLV
V67,CHASE,PLV
V68,QUIET,PLV
V69,SLEEP,PLV
V70,STEAL,PLV
V71,WALK,PLV
V72,HUNT,PLV
V73,HIT HEAD,PLV
V74,EAT,PLV
V75,SWELL,PLV
V76,SIT,PLV
V77,SHOW,PLV
V78,WAIT,PLV
V79,LISTEN,PLV
V80,TALK,PLV
V81,ALL,PGN
V82,DISCOURSE,PGN
V83,THEN,PGN
V84,EXACTLY,PGN
V85,ADJECTIVE,PGN
V86,TOPIC,PGN
V87,HERE,PGN
V88,OBLIQUE,PGN
V89,DETERMINER,PGN
V90,NASAL CLUSTER DISSIMILATION,PGN
V91,PLURAL,PGN
V92,ALLATIVE,PGN
V93,DATIVE,PGN
V94,PROPRIETIVE,PGN
V95,DATIVE,PGN
V96,ERGATIVE,PGN
V97,ABLATIVE,PGN
V98,DATIVE,PGN
V99,FACTIVE,PGN
V100,INSTRUMENTAL,PGN
V101,LOCATIVE,PGN
V102,CASE AGREEMENT,PGN
V103,SUBJECT MARKING,PGN
V104,CASE ALIGNMENT,PGN
V105,INSUBORDINATION,PGV
V106,MARKING OF SUBORDINATE CLAUSES,PGV
V107,AGAIN,PGV
V108,PASSIVE,PGV
V109,PLACEMENT,PGV
V110,ACCOMPANIMENT,PGV
V111,MOTION,PGV
V112,CAUSATIVE,PGV
V113,Imperative LOOK,PGV
V114,Imperative GIVE,PGV
V115,PAST TENSE,PGV
V116,NEGATION,PGV
V117,COPULA,PGV
V118,GO,PGV
V119,HIT,PGV
V120,SUBORDINATOR,PGV
V121,north,PLN
V122,SOUTH,PLN
V123,EAST,PLN
V124,WEST,PLN
V125,DARWIN,PLN
V126,KATHERINE,PLN
V127,TIMBER CREEK,PLN
V128,HALLS CREEK,PLN
V129,PIGEON HOLE,PLN
V130,JINPARRAK,PLN
V131,UP,CLN
V132,DOWN,CLN
V133,NORTH,CLN
V134,SOUTH,CLN
V135,EAST,CLN
V136,WEST,CLN
V137,ALICE SPRINGS,CLN
V138,ALICE SPRINGS (EAST),CLN
V139,DARWIN,CLN
V140,KATHERINE,CLN
V141,TIMBER CREEK,CLN
V142,HALLS CREEK,CLN
V143,PIGEON HOLE,CLN
V144,JINPARRAK,CLN
V145,ABSOLUTE,CLN
V146,DOG,CLN
V147,HORSE,CLN
V148,EMU,CLN
V149,CAR,CLN
V150,CROCODILE,CLN
V151,GOANNA,CLN
V152,BUTTERFLY,CLN
V153,EAGLE,CLN
V154,KANGAROO,CLN
V155,FROG,CLN
V156,HAND,CLN
V157,FOOT,CLN
V158,NOSE,CLN
V159,KNEE,CLN
V160,EYE,CLN
V161,SPIDER,CLN
V162,BLUETONGUE,CLN
V163,BARRAMUNDI,CLN
V164,TONGUE,CLN
V165,STOMACH,CLN
V166,PRICKLE,CLN
V167,TREE,CLN
V168,GRASS,CLN
V169,GIRL,CLN
V170,WATER,CLN
V171,BOY,CLN
V172,FIRE,CLN
V173,BREAD,CLN
V174,NEST,CLN
V175,MEAT,CLN
V176,HAT,CLN
V177,FISH,CLN
V178,RIVER,CLN
V179,HOUSE,CLN
V180,CLOUD,CLN
V181,BIRD,CLN
V182,TURTLE,CLN
V183,TAIL,CLN
V184,CORELLA,CLN
V185,WHITEFELLA,CLN
