GENDER,AGE,LOCATION,FAMILY,HH1,HL2,HH2,LL2,LH3,LL3,HH3,V1,V1,V3,V3,V4,V4,V7,V7,V8,V8,V10,V10,V13,V13,V14,V14,V14,V17,V17,V18,V18,V19,V19,V24,V24,V25,V25,V27,V27,V29,V29,V29,V30,V30,V31,V31,V35,V35,V36,V36,V37,V37,V40,V40,V40,V43,V43,V43,V44,V44,V54,V54,V60,V60,V61,V61,V61,V62,V62,V63,V63,V65,V65,V71,V71,V71,V74,V74,V74,V77,V77,V79,V79,V80,V80
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2,2,1,2,1,2,1,2,1,2,2,1,2,1,2,1,2,1,2,2,1,2,2,1,2,1,2,1,2,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4297245,0.4835861,0.4479611,3.2651523,0.8379767,3.4345195,0.4193761,1.2052484,0.4298562,2.9507631,1.0049104,3.5128798,0.5600493,3.0659092,0.6457039,1.4749694,3.2508158,0.5445933,2.8348253,0.2706685,3.2660863,0.9576948,3.073207,0.5073071,2.887633,0.6265933,2.9478503,0.4406911,2.3188494,0.5773996,0.5054493,2.6752396,0.8927081,3.3971636,0.9576948,2.3051807,0.5608796,2.562553,0.2943356,2.5059071,2.4670855,1.0076299,0.6280111,0.3618731,1.7262791,0.7286687,0.5967264,1.6337881,0.5621274,3.3445138,0.7597265,1.726417,0.2957047,1.2026135,0.7584354,0.5631002,3.2643585,0.1811926,2.2607658,0.2665731,1.7217632,0.2995004,1.2562814,0.3815014,0.3838097,1.884708,0.7372601,0.4932883,3.0438524,1.546637,3.0140287,0.5608796,2.9231113,0.9372137,2.4210532
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42989846,1.71519918,1.56183146,0.40680911,1.26456306,0.53284597,1.7994,0.77761603,2.01059833,0.91167989,1.32895542,0.33437823,0.76480944,0.29373077,1.26627067,0.41405775,0.36984189,2.06616744,1.52561965,2.50613252,0.54998973,0.94880394,0.22425355,1.63453969,0.45828537,1.16881652,0.27229527,1.77120256,0.52208343,1.42202381,2.06432519,0.31715259,0.74920146,0.39305308,0.94880394,0.11641237,1.24718413,0.40774763,0.60419562,0.07941761,0.5297357,0.21736132,1.07288719,1.70211726,0.14321508,1.71667438,1.87544502,0.3691403,1.17380905,0.37145187,0.97290069,0.4848974,2.38059889,0.86785171,0.73172052,0.93965291,0.25864662,1.5380569,0.88308566,2.57971216,0.94542216,2.30424109,1.09492674,1.72527846,1.64732563,0.40327386,1.57915542,1.42891325,0.31401703,1.21189917,0.56499838,1.24718413,0.49802464,0.85742821,0.23246471
0,18,12,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,0
1,18,9,5,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0
1,19,4,5,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0
0,18,10,10,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
0,20,15,7,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0
0,19,1,7,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0
0,16,24,7,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0
